index,#,,@Username,Country,Topics,Followers,Engagement Rate
0,1,,saadlamjarred@saadlamjarred1,Morocco,"Lifestyle
Singer",10.9M,1.90%
1,2,,Salma Rachid@salmarachid.official,Morocco,,7.6M,2.30%
2,3,,رجاء بلمير@rajaabelmir,Morocco,"Fashion
Humor
Celebrities
Technology
Animals & Pets",7.1M,3.30%
3,4,,Zouhair Bahaoui@zouhairbahaoui,Morocco,"Singer
Music",6.9M,1.50%
4,5,,Just Sul@justsul,Morocco,,6.2M,9.80%
5,6,,Insta.asma@asmalmnawar,Morocco,Singer,5.9M,0.50%
6,7,,Ibtissam Tiskat@ibtissamtiskatofficial,Morocco,Singer,5.6M,1.00%
7,8,,Leilahadioui 🇲🇦@leilahadioui,Morocco,"Modeling
Fashion
Lifestyle",5.6M,0.40%
8,9,,Rachid Allali@allalirachid,Morocco,Entertainment,5.4M,0.40%
9,10,,عمر بلمير 🎤@omarbelmir,Morocco,Modeling,5.2M,5.20%
10,11,,Safae Hbirkou@hbirkousafae_officiel,Morocco,Art,5.1M,2.90%
11,12,,HATIM AMMOR@hatimammor,Morocco,Singer,4.5M,0.30%
12,13,,Fati Jamali فاتي جمالي@fatijamaliofficiel,Morocco,"Fashion
Modeling",4.3M,0.90%
13,14,,AMINUX@aminuxamine,Morocco,"Band
Technology
Photography",3.9M,0.40%
14,15,,Achraf Hakimi@achrafhakimi,Morocco,"Soccer
Journalists
Sports",3.6M,7.90%
15,16,,Oussama Ramzi _ أسامة رمزي@oussamaramzi1,Morocco,"Fashion
Gym
Modeling",3.4M,2.50%
16,17,,Meryem Asouab /مريم اصواب@meryemasouab,Morocco,"Fashion
Modeling",3.4M,7.90%
17,18,,Sᗩᖴᗩᗩ & ᕼᗩᘉᗩᗩ صفاء و هناء@safaahanaa,Morocco,Singer,3.3M,0.50%
18,19,,Eko Artiste Officiel@ekoartiste,Morocco,Humor,3.1M,0.70%
19,20,,Lotfi Omar | عمر لطفي@lotfi_omar,Morocco,Actors,3M,2.30%
20,21,,Hichammasrar@hichammasrar1,Morocco,"Modeling
Fashion
Actors",3M,0.60%
21,22,,REDA EL WAHABI • رضا الوهابي@reda_elwahabii,Morocco,"Modeling
Fashion",3M,16.90%
22,23,,Iman Elbani Yildirim@iman_elbani,Morocco,Modeling,3M,2.40%
23,24,,Nouamanbelaiachi@nouamanbelaiachi,Morocco,"Modeling
Actors
Fashion
Celebrities
Technology
Cars & Motorcycles",2.9M,1.20%
24,25,,RedOne@redone,Morocco,"Singer
Producers",2.8M,1.10%
25,26,,Ihab Amir@ihabamirofficiell,Morocco,"Singer
Music
Songwriting",2.8M,1.10%
26,27,,Badr Hari@badrhariofficial,Morocco,"Gym
Fitness
Coaching",2.7M,2.70%
27,28,,Momo Bousfiha@momoofficiel,Morocco,"Moms
Music",2.7M,0.60%
28,29,,Adil Taouil - عادل تاويل@adiltaouil,Morocco,"Modeling
Photography
Fashion",2.7M,9.00%
29,30,,Simo Sedraty@simosedraty,Morocco,Fashion,2.6M,4.40%
30,31,,Hespress@hespress,Morocco,News&Politics,2.5M,0%
31,32,,سارة@saraabujad,Morocco,"Modeling
Music
Singer",2.4M,2.50%
32,33,,R A W A A • B E A U T Y@rawaa_beauty,Morocco,"Lifestyle
Beauty
Fashion
Hair & Beauty
Celebrities",2.4M,2.10%
33,34,,CHOUFTV OFFICIAL@chouftv_official,Morocco,News&Politics,2.4M,0%
34,35,,Ihssane Benalluch@ihssanebenalluch,Morocco,"Fashion
Lifestyle
Celebrities
Technology
Hair & Beauty
Design",2.3M,3.90%
35,36,,Saida Charaf@saidacharaf__,Morocco,,2.3M,0.40%
36,37,,Taliss@taliss1,Morocco,Humor,2.3M,0.80%
37,38,,Ikram Bellanova@ikrambellanova_91,Morocco,"Video Blogger
Fashion
Lifestyle
Modeling",2.2M,2.80%
38,39,,Zouhair Zair | زهير زائر@zouhairzair,Morocco,Comedy,2.2M,3.20%
39,40,,Latifa Raafat@raafatlatifa,Morocco,,2M,1.20%
40,41,,Badr Soultan@badrsoultan,Morocco,"Soccer
Fashion
Lifestyle",1.8M,0.90%
41,42,,Zahrae Al Saher@zahrae_al_saher,Morocco,,1.8M,0.90%
42,43,,⋆:  🎀  𝒥𝒶𝓂𝒾𝓁𝒶 𝐸𝓁𝒷𝒶𝒹𝒶🌺𝓊𝒾  🎀  :⋆@jamila_elbadaoui,Morocco,Singer,1.8M,0.70%
43,44,,Muslim@muslimprodofficial,Morocco,Music,1.8M,1.30%
44,45,,Aboubakrziani@aboubakrziani,Morocco,Singer,1.8M,4.80%
45,46,,Chroukate Hamada@chroukate,Morocco,"Modeling
Actors
Fashion",1.8M,3.80%
46,47,,YouNess Officiel@younessofficiel,Morocco,,1.8M,0.70%
47,48,,Abu Azaitar@abuazaitar,Morocco,Sports,1.8M,1.30%
48,49,,Loubna Eljaouhari@loubnaeljr,Morocco,"Lifestyle
Sports
Modeling",1.8M,3.90%
49,50,,M a n a l   منال@manalbenchlikha,Morocco,"Music
Singer
Fashion",1.7M,5.60%
50,51,,Welovebuzz@welovebuzzar,Morocco,"Fashion
Gym
Modeling",1.7M,0.60%
51,52,,Sahar Seddiki@saharseddiki,Morocco,"Lifestyle
Sports",1.7M,0.60%
52,53,,Zakaria Ghafouli@zakariaghafouli,Morocco,Music,1.6M,0.30%
53,54,,Fayssal Vlog@fayssal_vlog,Morocco,"Soccer
Travel
Fashion",1.6M,5.40%
54,55,,Abir Berrani@abirberraniofficiel,Morocco,"Fashion
Art
Beauty",1.6M,0.90%
55,56,,Aymane Serhani@aymaneserhani,Morocco,"Lifestyle
Sports
Music",1.6M,3.90%
56,57,,ibtissamlaroussi1@ibtissamlaroussi1,Morocco,Journalists,1.6M,0.80%
57,58,,Essaqr Amal Officiel@essaqramal,Morocco,"Singer
Music
Actors",1.6M,0.50%
58,59,,Fnaire I فناير 🇲🇦@fnaire_official,Morocco,"Modeling
Fashion",1.6M,0.50%
59,60,,Dina Akesbi@dinaakesbi,Morocco,"Art
Beauty
Business
Hair & Beauty",1.6M,1.10%
60,61,,bryana holly@bryanaholly,Morocco,Celebrities,1.5M,1.70%
61,62,,Somadina_officiel 💎@soma_officiel,Morocco,"Soccer
Fashion",1.5M,1.70%
62,63,,HIT RADIO@hitradioma,Morocco,"Music
Entertainment
Singer",1.5M,0%
63,64,,Rabii Skalli Officiel@rabii.skalli,Morocco,,1.5M,3.80%
64,65,,‎SOFIA CHARAF ⭐️ صوفيا شرف@sofiacharafofficiel,Morocco,"Fashion
Lifestyle",1.5M,2.70%
65,66,,𝗠𝗢𝗛𝗔𝗠𝗘𝗗 𝗕𝗔𝗦𝗦𝗢𝗨 - محمد باسو@bassou_mohammed,Morocco,"Actors
Modeling",1.5M,2.60%
66,67,,Raja Club Athletic@rcaofficiel,Morocco,"Soccer
Training
Sports",1.4M,1.60%
67,68,,mariahnadim - ماريا ناديم@mariahnadim,Morocco,"Fashion
Singer
Celebrities",1.4M,2.30%
68,69,,Walid Azaro@walidazaro_official_21,Morocco,,1.4M,4.20%
69,70,,الانستغرام الرسمي لكوثر براني@kaoutarberrani,Morocco,"Fashion
Modeling
Music",1.4M,1.10%
70,71,,ᵀ ᴬ ᴴ ᴬ    ᴱ  ˢ  ˢ ᴼ ᵁ@tahaessou,Morocco,"Lifestyle
Fashion
Modeling",1.4M,10.30%
71,72,,Rabab Azmani@rababazmani,Morocco,"Moms
Modeling
Fashion",1.3M,0.70%
72,73,,DON BIGG@donbiggofficial,Morocco,"Music
Producers
Singer",1.3M,3.60%
73,74,,ZOUBER@ezzoubairhilal,Morocco,Coaching,1.3M,13.60%
74,75,,Ahlamzaimiofficiel احلام@ahlamzaimiofficiel,Morocco,"Lifestyle
Sports
Modeling",1.2M,1.00%
75,76,,🎀⭐ L E  I L A / D I S S A Y ⭐🎀@leila_dissay,Morocco,Plus Size,1.2M,0.60%
76,77,,Fatima Zahra El Ibrahimi@fatima_zahra_el_ibrahimi,Morocco,"Fashion
Modeling
Lifestyle",1.2M,1.20%
77,78,,"TOTO, ouallah c'est moi. 🤘🏼@elgrandetoto",Morocco,Music,1.2M,6.60%
78,79,,مغربية حرة@maghrebia_hora,Morocco,,1.2M,0.70%
79,80,,Asmaa Beauty@asmaabeautychannel,Morocco,"Art
Beauty
Fashion",1.2M,1.70%
80,81,,Lartiste@thereallartiste,Morocco,Music,1.1M,1.70%
81,82,,Hijab Fashion Inspiration@hijab_fashioninspiration,Morocco,"Fashion
Styling
Lifestyle",1.1M,0%
82,83,,Salim Hammoumi 🇲🇦@salimhammoumii,Morocco,"Fashion
Actors
Modeling",1.1M,7.40%
83,84,,L7or Officiel@l7or75,Morocco,"Modeling
Singer
Music",1.1M,6.80%
84,85,,Redouan Zarghil@redouanzarghil,Morocco,,1.1M,0.40%
85,86,,Hijabfashion@hijabmuslim,Morocco,,1M,0.20%
86,87,,Lalla Laarossa ‎لالة لعروسة@lalla_laarossaa,Morocco,,1M,0.30%
87,88,,yosra saouf 🇲🇦@yosra_saouff,Morocco,"Fashion
Modeling
Lifestyle",1M,0.70%
88,89,,HIJAB MODERN@hijabmodern.fh,Morocco,"Art
Beauty
Business
Celebrities
Hair & Beauty
Fashion",1M,0.20%
89,90,,Lbenj | البنج@lbenjofficial,Morocco,"Music
Modeling",1M,3.00%
90,91,,Amine Harit@a.harit14,Morocco,Soccer,1M,4.10%
91,92,,Ikram ⚪ إكرام@ikramelgat,Morocco,"Fashion
Lifestyle
Styling",1M,2.30%
92,93,,Zeineb Laouni@zeibeauty,Morocco,"Lifestyle
Fashion
Beauty
Celebrities",1M,1.70%
93,94,,Mohammad Reda محمد رضا@mohamedredaofficiel,Morocco,"Fashion
Lifestyle
Modeling",0.9M,0.20%
94,95,,Dizzy DROS@mr_cazafonia,Morocco,"Singer
Modeling",0.9M,11.70%
95,96,,Laila Aziz@lailaazizofficial,Morocco,"Fashion
Lifestyle
Styling",0.9M,1.20%
96,97,,AMINE RADI@radi_amine,Morocco,"Lifestyle
Fashion
Sports
Technology
Celebrities",0.9M,3.40%
97,98,,حليوة / 7liwa@7liwa,Morocco,"Modeling
Music",0.9M,3.70%
98,99,,Youssef Belhadj 📸@youzarrofficial,Morocco,Fitness,0.9M,1.60%
99,100,,عويشة الدريويشة 😇 صفحة منوعة 📺@lalla_3wicha_dwiiba,Morocco,,889K,0.10%
0,101,,Rajoua Es-Sahely-رجوى الساهلي@rajoua.officiel,Morocco,Beauty,872.7K,0.20%
1,102,,Asmaeamrani اسماء عمراني@asmaeamraniofficiel,Morocco,"Beauty
Art
Lifestyle",869.9K,0.60%
2,103,,️مجلة مشاهير المغرب  ️ ️️@et_maroc.officiel,Morocco,,861.9K,0.30%
3,104,,SalimCravata🇲🇦@cravataofficiel,Morocco,"Modeling
Music",851.5K,2.70%
4,105,,QUEEN A@ablasofy,Morocco,"Modeling
Fashion",846.1K,1.40%
5,106,,Anas El Baz | انس الباز‎@anaselbaz,Morocco,"Lifestyle
Photography
Sports",839.3K,1.30%
6,107,,♪♫ 𝒢𝓇𝒾𝓃𝒾 𝒜𝓀𝒶 #مشعكك ♫♪@grini_f,Morocco,,833.4K,0.40%
7,108,,Jıhad BenAlluch@jihadebenalluch,Morocco,"Fashion
Travel",825.6K,2.10%
8,109,,Ottman Azaitar@ottmanazaitar,Morocco,Sports,811.5K,2.50%
9,110,,Fadoua Taleb@fadoua.taleb,Morocco,"Lifestyle
Fashion",776.9K,1.60%
10,111,,🇲🇦رجاء بلمير👫عمر بلمير🇲🇦@belmirs_officiele,Morocco,,770.4K,0%
11,112,,Miryam Labiad@mimialeblanc,Morocco,"Fashion
Lifestyle
Modeling
Celebrities
Design",770.1K,0.60%
12,113,,Abdelilah Rachid@abdelilah.rachid,Morocco,Actors,765.8K,1.00%
13,114,,Hassan GonzaLez@gonzalez.officiel,Morocco,,761.1K,7.50%
14,115,,maroc@starsmaroc,Morocco,,742.3K,0.30%
15,116,,Welovebuzz@welovebuzz,Morocco,"Lifestyle
Fashion",741K,0.60%
16,117,,Jamal Alpha@jamal_alpha,Morocco,,738.6K,3.90%
17,118,,TiiwTiiw@tiiwtiiwofficiel,Morocco,"Lifestyle
Music",720.1K,2.40%
18,119,,Issam Attaf | عصام عطاف@issam_attaf_offciel,Morocco,Photography,714.9K,0%
19,120,,Safaa Channel@safaachannelofficiel,Morocco,"Art
Modeling
Beauty",709.5K,3.60%
20,121,,Abdellah Abujad@abdellahabujad,Morocco,Fitness,691.9K,1.90%
21,122,,❤رجاء بلمير /عمر بلمير ❤@belmirs2,Morocco,,685.3K,0.50%
22,123,,samia🌜@sauf.etc,Morocco,"Actors
Fashion
Lifestyle",684.7K,3.10%
23,124,,chahrazad akroud@chahrazadakroudofficial,Morocco,,683K,1.20%
24,125,,Bouchraddeauofficiel🇲🇦@bouchradeauofficiel,Morocco,,677K,0.40%
25,126,,Chorouk #MissArabWorld👑❤👄@choroukchelouatiofficiel,Morocco,"Fashion
Modeling",669.1K,0.90%
26,127,,MeryemZaïmiOfficiel@meryemzaimiofficiel,Morocco,"Lifestyle
Fashion
Modeling",644.7K,2.60%
27,128,,Kzm@kazemchamas_official,Morocco,"Actors
Modeling
Fashion
Nature & Outdoors
Travel
Film, Music & Books
Photography
Architecture",636.2K,1.60%
28,129,,Arryadia@arryadiatv,Morocco,"TV Channel
Sports
Fitness",633.5K,0.10%
29,130,,🌸﷽🌸@hijabiselegant,Morocco,,630.4K,0.10%
30,131,,Huda Chay - هدى شاي@hudachay,Morocco,"Fashion
Lifestyle",628.4K,0.70%
31,132,,Foulane Mehdi@foulaneelmehdi,Morocco,,625.4K,1.80%
32,133,,I S S A M  K A M A L@issamkamalofficial,Morocco,"Music
Lifestyle
Actors",613.2K,0.10%
