,#,,@Username,Country,Topics,Followers,Engagement Rate
0,601,,soufianballouk@soufian.ballouk,Morocco,"Training
Fitness
Coaching",126.5K,2.30%
1,602,,Aji nsewlek@ajinsewlek,Morocco,"Fashion
Lifestyle",126.4K,2.30%
2,603,,Andal Hassisni@andalhassisni,Morocco,"Lifestyle
Music
Singer",125.8K,1.10%
3,604,,عبدالرحيم المويسي@abderrahim_mouissi,Morocco,,125.7K,0.10%
4,605,,International Moroccan beauty@bnat_almaghrib,Morocco,"Fashion
Lifestyle
Beauty",125.6K,0.30%
5,606,,🌹 WELCOME TO | SK.SALIMA🌹@sk.salima,Morocco,"Fashion
Lifestyle
Styling",125.5K,0%
6,607,,Ciné.Rouge@cine.rouge,Morocco,,125.2K,1.10%
7,608,,G h  a s s a n غسان@ghassanofficiel,Morocco,"Fitness
Coaching
Training",124.8K,1.00%
8,609,,cosmetic_care_karim@cosmetic_care_karim,Morocco,,124.7K,0.10%
9,610,,Electrophone 🔹@fashion_sud00,Morocco,Lifestyle,124.7K,0.90%
10,611,,مريم | Mariem@mariembeautiness,Morocco,"Fashion
Lifestyle
Beauty
Hair & Beauty",124.1K,1.70%
11,612,,hafssa el cooking@hafssa_cooking8,Morocco,"Food
Cooking
Chef",124K,1.10%
12,613,,A͜͡s͜͡m͜͡a͜͡e͜͡@asmae_accessories_shop,Morocco,"Fashion
Art
Modeling",123.9K,0%
13,614,,عدسات  SEE  LENS🇲🇦@se__lens,Morocco,"Fashion
Beauty
Art",123.5K,0%
14,615,,Reda El Alaoui | رضـا العلـوي@redaelalaouiofficial,Morocco,"Modeling
Fashion",122.9K,1.10%
15,616,,الهاپي@lhaapy,Morocco,"Fashion
Gym
Modeling",122.8K,0.03%
16,617,,Nahed Rachad@nahedrachad,Morocco,"Lifestyle
Sports
Modeling",122.3K,0.20%
17,618,,Abdelilah Ayoubi@ayoubistudio,Morocco,"Fashion
Modeling
Lifestyle",122K,0%
18,619,,El Ghalia Boussoula@ghalia_bossola,Morocco,,121.9K,0.50%
19,620,,El Ghazy Hamza@elghazy_hamza,Morocco,"Modeling
Fashion
Photography
Celebrities
Hair & Beauty",121.6K,0.20%
20,621,,Top Commentaire Marocaine@x.dayler.x,Morocco,,120.9K,0.50%
21,622,,👑QUEEN OF INNOCENCE👑@firdaousseelwardi,Morocco,"Fashion
Modeling
Lifestyle",120.7K,0.90%
22,623,,@elhajoujileilarafinity,Morocco,"Fashion
Jewelry
Design",120.5K,0.40%
23,624,,Nouhaila Dl@nouha_dl_,Morocco,,120.4K,0.40%
24,625,,My Dear Morocco@mydearmorocco,Morocco,"Travel
Photography
Nature & Outdoors
Architecture",120K,0.80%
25,626,,Omar El Mekkaoui@oelmekkaoui,Morocco,"Fashion
Lifestyle
Travel",119.9K,18.80%
26,627,,Pinkbarnails&spa@pinkbaronglerie,Morocco,"Lifestyle
Fashion",119.8K,0%
27,628,,||𝓼𝓸𝓾𝓯𝓲𝓪𝓷𝓮||苏菲安||🇲🇦🇫🇷@mr_soufiane_crazyi,Morocco,"Bikini
Fashion
Modeling
Celebrities
Design
Hair & Beauty",119.8K,1.40%
28,629,,M E R Y A M    F A D E L@rim_sweet_home,Morocco,"Design
Interior Design
Lifestyle",119.6K,0.80%
29,630,,Houda Larini@larinihouda,Morocco,"Luxury
Fashion",119.6K,0.60%
30,631,,Twin N Twice@twinntwice,Morocco,"Music
Singer
Entertainment",119.1K,2.70%
31,632,,Maryam Rasd@z2uw,Morocco,,119.1K,0.60%
32,633,,Patrice Beaumelle@patricebeaumelle,Morocco,Soccer,118.9K,0.80%
33,634,,أسرار الجمال 🌴@miyem_beauty2,Morocco,"Fashion
Lifestyle
Celebrities",118.2K,0.40%
34,635,,📍نرجــــس@narjismaahi,Morocco,Art,117.9K,0.30%
35,636,,Hikmate حكمت@hikmateofficial,Morocco,,117.9K,0.50%
36,637,,انسطا طنجاوي |Insta TanjaOui@insta_tanjaoui,Morocco,,117.7K,1.60%
37,638,,INTERNATIONAL  PHOTOGRAPHER  📷@othmanbenhaddouch,Morocco,"Photography
Technology",117.6K,0.60%
38,639,,Sonia Guerraoui صونية الگراوي@lateliersoniacouture,Morocco,"Fashion
Fashion Design
Lifestyle",117K,0.70%
39,640,,Mautassin@mautassin,Morocco,"Fashion
Lifestyle",116.8K,0.10%
40,641,,tazi_oficial 🇲🇦🔹@tazi_oficial,Morocco,,116.7K,0.70%
41,642,,M A J D O U L I N E 🕊.@majdouulin,Morocco,"Modeling
Fashion",116.6K,0%
42,643,,Yusra Idrissi@moroccanmusthaves,Morocco,"Fashion
Lifestyle",116.2K,1.20%
43,644,,AZZEDNE FETOUHI@azzedinefetouhi,Morocco,Writers,115.9K,3.10%
44,645,,ضابط المشاهير 👮@dabit_almashahir,Morocco,"Fashion
Gym
Modeling",115.8K,0.40%
45,646,,ᎾℳᎯℛ ЅℬᎯℐ 🥀@its.seok,Morocco,"Fashion
Lifestyle
Modeling",115.7K,1.20%
46,647,,H & N ✨@h.n_creation,Morocco,Fashion,115.5K,0.60%
47,648,,SAAD ABID@saadabidofficiel,Morocco,Surfing,115.5K,1.10%
48,649,,Abderrafia El Abdioui@abderrafia_elabdioui,Morocco,"Modeling
Fashion",115.5K,0.90%
49,650,,Salma Raiss El Fenni@aminasdaughtershautecouture,Morocco,"Fashion
Fashion Design
Lifestyle",114.9K,0%
